1.187000000000000055e+00,6.250000000000000000e+01,9.300000000000000711e+00,9.412159584056138673e-02,6.776981814745106636e-01,6.946226739723551091e+00,6.238044026612493020e+00,5.415234011574295402e-07,5.216346200454947457e+00,3.606257314792462477e-06,6.496316523050103875e+00,2.995918222756065674e+00
1.010000000000000009e+00,2.030000000000000071e+01,1.282000000000000028e+01,1.075491297446863476e-01,5.856862784524968779e-01,1.571696360697178528e-08,6.816298377426488919e+00,5.943296583893151741e+00,1.516113899940665354e-09,3.955259270749889033e+00,4.846210080228877416e-07,2.474921925637449538e-08
1.278000000000000025e+00,5.900000000000000355e+00,2.040000000000000036e+00,6.892761168207181544e-02,4.063698354692675263e-01,6.746748948610358454e+00,5.210892474118845819e+00,1.213452928813023383e-05,2.792034657832255134e-07,4.411807553548605654e+00,1.961442999296025514e-06,7.518627296583622943e+00
1.006999999999999895e+00,4.299999999999999822e+00,9.539999999999999147e+00,3.302144468291065560e-02,1.673173347481760609e-01,1.622989075149250174e-09,2.267598705299437466e-08,2.526791086315023360e-01,7.438383242409438334e-11,7.067926685916591012e+00,5.245611042878571703e-09,1.547575174830931018e-07
1.137999999999999901e+00,4.799999999999999822e+00,1.323000000000000043e+01,7.188200730612535894e-02,4.358443659844412621e-01,6.473643842998269919e-11,5.717137872593945127e-10,5.389071033067899030e+00,1.322957299178170488e-10,2.269098684150242099e-09,1.917288550127787947e-11,4.341860204694636055e-12
1.576000000000000068e+00,3.410000000000000142e+01,5.446999999999999886e+01,2.237554536572411712e-01,1.023128946010495754e+00,7.184750660361733487e+00,6.585950135843780195e+00,2.785877948852520798e-07,1.651743281183861878e-07,6.696804493457495708e-07,3.524949594896949901e-07,1.208284386155658443e-07
0.000000000000000000e+00,8.400000000000000355e+00,1.142999999999999972e+01,6.669855042299525916e-02,4.477780092946210821e-01,1.085094692957747364e-07,2.311300989404537315e-06,2.704106812988440467e+00,3.886944536452895864e-09,7.201959614261038922e+00,1.140082066693225699e-08,2.667228535769733880e-08
1.129999999999999893e+00,1.169999999999999929e+01,3.150000000000000000e+01,8.026562733984476949e-02,6.935510855959134968e-01,4.021593643835155462e-08,6.298804726705228063e+00,6.105160193449176376e+00,2.378259808480620792e-09,1.610070694234348864e-06,1.592006815660859553e+00,5.395461840517831427e-09
1.034999999999999920e+00,3.100000000000000089e+00,9.269999999999999574e+00,2.897770520877799780e-02,4.879863311293934358e-01,2.284146001788907139e-08,5.015615750240671744e+00,6.425275413695553439e+00,1.663206625248535853e-08,4.742994702400386967e-07,9.273686259055721572e-10,7.256626408245721278e-10
1.032000000000000028e+00,1.390000000000000036e+01,9.609999999999999432e+00,6.557971472844842387e-02,3.388547462523230358e-01,4.516288560525436846e-06,5.738680315352887362e+00,1.417698417810622889e-06,8.771436525447204472e-08,4.131819286072566655e+00,9.235440926155208342e-07,7.779071322165810543e+00
1.000999999999999890e+00,2.399999999999999911e+00,6.419999999999999929e+00,1.367969729119255899e-02,5.358002908248976626e-01,1.230190786110519038e-08,8.791377195032503388e-08,3.586360027116175520e+00,1.168451335004242696e-09,7.153753245289901308e+00,2.692590591307631148e-09,1.900082029205442382e-08
1.360000000000000098e+00,2.000000000000000000e+00,9.429999999999999716e+00,1.082266563749284816e-01,6.042260530844699717e-01,1.772040276579874044e-08,5.827666202742084245e+00,6.221453693368748539e+00,8.127324558073956740e-09,9.846878383042322687e-08,3.154119187556104468e-10,4.666715901512569571e-10
0.000000000000000000e+00,1.300000000000000000e+01,2.157000000000000028e+01,1.373541113707328343e-01,7.133225049870276502e-01,2.476392806628735014e-05,5.901672902726282643e+00,1.844373632490486429e-06,1.139421931840089089e-07,6.106591470528678123e+00,2.741072302722713928e-06,7.443982343709691918e+00
1.072000000000000064e+00,6.999999999999999556e-01,8.949999999999999289e+00,3.862016194970278177e-02,3.673559210260189944e-01,6.384023135204424548e+00,6.035311308109367445e+00,5.839104573088568451e+00,2.307208862584925857e+00,1.042365536410084744e-06,4.876197845665802610e+00,3.276041461175556613e+00
1.137999999999999901e+00,2.000000000000000000e+00,1.910999999999999943e+01,8.707120590653541492e-02,5.619357633137812558e-01,4.342045149418790828e+00,6.571787053509557275e+00,4.042120852093381345e+00,6.338005120432119277e+00,5.564042769175728154e+00,1.255654986577103960e-06,1.859837764040679762e-07
1.030999999999999917e+00,2.569999999999999929e+01,5.490000000000000213e+00,4.296907339318013080e-02,4.471580313422192088e-01,1.006333810051547953e-07,6.672656236884651371e+00,5.254925496721077671e+00,3.138118338130170513e-08,2.566665625939412536e-07,7.761590451315398754e-09,3.219420058688992651e-09
1.550999999999999934e+00,3.550000000000000000e+01,1.903000000000000114e+01,1.038037209559568713e-01,6.953941082911099247e-01,3.169040091201204384e-08,6.440250283362379591e+00,6.105766187938889367e+00,3.058456197049956786e-08,1.750025393568999701e-07,3.127648357630903217e-09,2.212049208023887048e-09
